From,To,Weight
2415471752,2329253597,1
2564504444,2465079072,1
2465079072,2329253597,1
2564504444,2329253597,1
2893276593,625863904,2
437376054,2549006929,1
2636978777,2150244354,1
2690429845,2636978777,1
2690429845,2150244354,1
2251850206,2657331418,1
2172198057,2657331418,1
2172198057,2251850206,1
2505371666,2428638725,1
2172111964,1680731733,1
2343634714,1680731733,1
2343634714,1241591944,1
2343634714,2246450106,1
2996904145,2343634714,1
1680731733,1241591944,1
2246450106,1680731733,1
2996904145,1680731733,1
2246450106,1241591944,1
2996904145,1241591944,1
2556886944,2274562262,1
2274562262,2115794654,1
2556886944,2115794654,1
2669300864,2589693766,1
2589693766,2556947291,1
2669300864,2556947291,1
2221456739,2130843882,2
2221456739,1995346925,1
2709784431,2221456739,1
2221456739,2150264159,1
2221456739,572884078,4
2130843882,1995346925,1
2709784431,2130843882,1
2150264159,2130843882,1
2130843882,572884078,2
2709784431,1995346925,1
2150264159,1995346925,1
1995346925,572884078,1
2709784431,2150264159,1
2709784431,572884078,1
2150264159,572884078,1
2814163382,1569449108,1
2814163382,2130478153,2
2130478153,1569449108,4
2787274368,2192679898,1
1394461259,2148755231,1
1268099863,2148755231,1
1268099863,1394461259,1
2311182631,2148755231,1
2148755231,2062630223,1
2148755231,1394461259,2
2311182631,2062630223,1
2311182631,1394461259,1
2062630223,1394461259,1
2251850206,2645144716,1
733212765,2645144716,1
733212765,2251850206,1
2114500421,2082776978,2
2335709018,2114500421,2
2335709018,2082776978,2
2123677036,1931521731,1
2273938869,1931521731,1
1931521731,963192850,1
2585051537,1931521731,1
2273938869,2123677036,1
2123677036,963192850,1
2585051537,2123677036,1
2273938869,963192850,2
2585051537,2273938869,1
2585051537,963192850,1
2644094834,2152452213,1
2644094834,2138708328,1
2644094834,2508493695,1
2152452213,2138708328,1
2508493695,2152452213,1
2508493695,2138708328,1
2494885756,2028644223,2
2309898822,2132206945,3
2682333228,2309898822,3
2309898822,1472543948,4
2421714932,2309898822,4
2510245737,2309898822,1
2435729937,2309898822,3
2309898822,2253586755,3
3025733925,2309898822,3
2682333228,2132206945,3
2132206945,1472543948,3
2421714932,2132206945,3
2510245737,2132206945,1
2435729937,2132206945,3
2253586755,2132206945,3
3025733925,2132206945,2
2682333228,1472543948,3
2682333228,2421714932,3
2682333228,2510245737,1
2682333228,2435729937,3
2682333228,2253586755,3
3025733925,2682333228,2
2421714932,1472543948,4
2510245737,1472543948,1
2435729937,1472543948,3
2253586755,1472543948,3
3025733925,1472543948,2
2510245737,2421714932,1
2435729937,2421714932,3
2421714932,2253586755,3
3025733925,2421714932,2
2510245737,2435729937,1
2510245737,2253586755,1
3025733925,2510245737,1
2435729937,2253586755,3
3025733925,2435729937,2
3025733925,2253586755,2
2672999981,2251328605,1
2506920492,2251328605,1
2251328605,1985332971,1
2414124084,2251328605,1
2672999981,2506920492,1
2672999981,1985332971,1
2672999981,2414124084,1
2506920492,1985332971,1
2506920492,2414124084,1
2414124084,1985332971,1
2115794088,1569449108,2
2130478153,2115794088,1
2691316187,2069664504,1
2601433099,2069664504,1
2102405188,2069664504,1
2691316187,2601433099,1
2691316187,2102405188,1
2601433099,2102405188,1
2801342485,2102226479,1
2801342485,2156348552,1
2801342485,2672875906,1
2954098189,2801342485,1
2156348552,2102226479,1
2672875906,2102226479,1
2954098189,2102226479,1
2672875906,2156348552,1
2954098189,2156348552,2
2954098189,2672875906,1
2796887735,2245226205,3
2923321085,2796887735,2
2923321085,2245226205,2
2178136015,2140530078,1
2503631310,2140530078,1
2503631310,2178136015,1
2606874275,2212776008,1
2663234679,2212776008,1
2663234679,2606874275,1
2871837425,2059216707,1
2871837425,522006732,1
2871837425,1986393079,1
2871837425,1707482612,1
2059216707,522006732,1
2059216707,1986393079,1
2059216707,1707482612,1
1986393079,522006732,1
1707482612,522006732,1
1986393079,1707482612,1
2894080795,2222599283,1
2790112495,2222599283,1
2430230888,2222599283,1
2894080795,2790112495,1
2894080795,2430230888,1
2790112495,2430230888,1
2744893457,2586007512,1
2586007512,1991690685,3
2744893457,1991690685,1
2772170569,1990770041,1
2646322244,1990770041,1
2763969848,1990770041,1
2772170569,2646322244,1
2772170569,2763969848,1
2763969848,2646322244,1
2146074147,2324031801,1
1749094758,2324031801,1
1749094758,2146074147,2
2617744099,2590056321,2
2695606779,2617744099,1
2630759696,2617744099,1
2617744099,701765907,1
2617744099,2004053281,1
2617744099,1167627009,1
2695606779,2590056321,1
2630759696,2590056321,1
2590056321,701765907,1
2590056321,2004053281,1
2590056321,1167627009,1
2695606779,2630759696,1
2695606779,701765907,1
2695606779,2004053281,1
2695606779,1167627009,1
2630759696,701765907,1
2630759696,2004053281,1
2630759696,1167627009,1
2004053281,701765907,1
1167627009,701765907,1
